k_bind,k_unbind,k_df_block,k_cAMP_boost,Motility_Index_final,Motility_Index_max,Motility_Index_mean,Active_PKA_final,Cap_Sperm_final,Ca_High_final,cAMP_High_final,success
1e-06,0.0031622776601683794,0.0001,1e-06,885.7223991900083,990.897739329129,885.7240626841506,999.499968374011,887.1084764432832,999.4999999841872,999.4367520269717,True
1e-06,0.0031622776601683794,0.0001,1e-05,885.722905341478,990.8981944211205,885.7245687565586,999.4999686592821,887.1084767806495,999.4999999843303,999.437322495721,True
1e-06,0.0031622776601683794,0.0001,0.0001,885.7279073649803,990.9026998712178,885.7295707341852,999.4999714805062,887.1084764472527,999.4999999857413,999.442964262132,True
1e-06,0.0031622776601683794,0.0001,0.001,885.7729164130333,990.9436426139553,885.7745792553842,999.4999968632301,887.1084763995741,999.4999999984299,999.4937264999775,True
1e-06,0.0031622776601683794,0.0001,0.01,885.9869472887804,991.1495823297047,885.9886106089879,999.5001175296467,887.1084769496574,999.5000000587642,999.7351145610407,True
1e-06,0.0031622776601683794,0.001,1e-06,886.2635720136373,991.7936284426077,886.2652682569205,999.4999685457889,887.6501909165921,999.4999999842724,999.4370955333222,True
1e-06,0.0031622776601683794,0.001,1e-05,886.2640778928555,991.7940831869585,886.2657745884762,999.4999688307092,887.6501912897033,999.4999999844161,999.4376653068381,True
1e-06,0.0031622776601683794,0.001,0.0001,886.2690771178555,991.7985852322481,886.2707738655673,999.4999716485114,887.6501911700287,999.4999999858284,999.44330023539,True
1e-06,0.0031622776601683794,0.001,0.001,886.3140615224204,991.8395000387384,886.3157576904196,999.4999970020039,887.650190831873,999.4999999985024,999.4940040444944,True
1e-06,0.0031622776601683794,0.001,0.01,886.5280443002414,992.0453797723688,886.5297407349987,999.500117567628,887.6501914009766,999.5000000587845,999.7351905572556,True
1e-06,0.0031622776601683794,0.01,1e-06,886.3193897156392,991.9864074258709,886.3210898454744,999.4999685634959,887.7060644854658,999.4999999842812,999.4371309394526,True
1e-06,0.0031622776601683794,0.01,1e-05,886.3198951603514,991.9868620845673,886.321595182144,999.4999688483811,887.706064455412,999.4999999844244,999.437700641073,True
1e-06,0.0031622776601683794,0.01,0.0001,886.3248942144784,991.9913632507595,886.3265941840573,999.4999716658266,887.7060644754506,999.4999999858322,999.4433348651595,True
1e-06,0.0031622776601683794,0.01,0.001,886.3698760531282,992.0322708849509,886.3715753373885,999.4999970163095,887.706064081675,999.4999999985093,999.4940326535432,True
1e-06,0.0031622776601683794,0.01,0.01,886.5838531350228,992.2381345417717,886.5855535289016,999.5001175715446,887.7060639161219,999.5000000587847,999.7351983930392,True
1e-06,0.01778279410038923,1e-06,1e-06,972.8770174361862,991.3044565571616,972.8679292283351,999.4999935765825,974.3503231523134,999.499999996789,999.4871533568527,True
1e-06,0.01778279410038923,1e-06,1e-05,972.8774780109836,991.3049115280879,972.8683898240689,999.4999938130875,974.3503231053498,999.4999999969058,999.48762634085,True
1e-06,0.01778279410038923,1e-06,0.0001,972.8820379137294,991.3094157926305,972.8729497804411,999.4999961542918,974.3503230902104,999.4999999980797,999.4923086392422,True
1e-06,0.01778279410038923,1e-06,0.001,972.9234371555071,991.3503488358097,972.9143493670275,999.5000174088686,974.3503231057543,999.5000000087064,999.5348189512432,True
